Context,Collocate
"Years 1847-1851: external. It is a curious fact connected with polarization by inflexion,",curious
Years 1847-1851: and I noticed a curious fact which I first remarked in,curious
Years 1847-1851: before we can establish the fact of induced con- tractions not,establish
Years 1847-1851: sufficient weight to establish the fact and direc- tion of the,establish
Years 1847-1851: an endeavour to establish the fact of a distinet law of,establish
Years 1847-1851: is further proved by the fact that it is impossible to,proved
Years 1847-1851: most satisfactorily proved from the fact of the results being the,proved
Years 1847-1851: increase is proved by the fact that many of the patients,proved
Years 1847-1851: in my former memoir*. In fact it is now proved that,proved
"Years 1847-1851: genine, is proved by the fact that far more rubian is",proved
Years 1847-1851: bases is proved by the fact above men- 3N2 456 MR.,proved
"Years 1847-1851: granulation of the surface, a fact which proved most distinetly that",proved
Years 1847-1851: below the average. The same fact was stated in my previous,stated
Years 1847-1851: obscnres them. 1 Stated this fact many years ago®. Exp. 4.,stated
Years 1847-1851: of temperature. But the remarkable fact above quoted from Dr. Evwauvs's,remarkable
Years 1847-1851: the discovery of the remarkable fact that * equal volumes of,remarkable
Years 1847-1851: years: a very remarkable 2 fact is exhibited by these hourly,remarkable
"Years 1847-1851: susceptible of impregnation. A remarkable fact which I noticed, at a",remarkable
Years 1847-1851: singular and the most important fact in a theoretical point of,important
Years 1847-1851: the positive side. This important fact evi- dently proves that this,important
Years 1847-1851: repeating DoBEREINER's experiment. One important fact was observyed in this preliminary,important
Years 1847-1851: On this subject an important fact was ascertained during the large,important
"Years 1847-1851: be readily understood. Another important fact also to be remembered is,",important
Years 1847-1851: and the explanation of this fact involves similar phenomena ; thus—,explanation
Years 1847-1851: NEW CLASS OF SALTS. 485 fact the formula Cy+2HO correctly represents,new
"Years 1847-1851: CERTAIN ELEMENTS 1818, no new fact of the slightest importance has",new
Years 1847-1851: skilful interpretation of every new fact which was elaborated by the,new
Years 1847-1851: me to add any new fact of importance to those already,new
"Years 1847-1851: a new iodide*, which in fact resembles in its outward appearance",new
Years 1847-1851: ; and thus the known fact of the edge and the,known
