Context,Word,File,Directory
"these observations, the facts that might be",these,Unknown,Unknown
"of sensibility. These facts are so strong,",these,rstl_1823_0023.txt,txt_rstl
"of these two facts ; first, that",these,rstl_1823_0023.txt,txt_rstl
that these general facts of the condensation,these,rstl_1823_0020.txt,txt_rstl
"offer any new facts respecting these worms,",these,rstl_1823_0001.txt,txt_rstl
"Comparing these naked facts together, the first",these,Unknown,Unknown
rapid - combustion.* Facts analogous to these,these,rstl_1824_0018.txt,txt_rstl
carbonic oxide. These facts show that at,these,rstl_1824_0018.txt,txt_rstl
"singular preparations, These facts will be duly",these,Unknown,Unknown
conditions. All these facts bear upon- the,these,Unknown,Unknown
Society these new facts respecting pearls at,these,rstl_1826_0028.txt,txt_rstl
discharged. From these facts I have been,these,rstl_1826_0028.txt,txt_rstl
interpretation of these facts and statements will,these,rstl_1826_0015.txt,txt_rstl
to redness. These facts establish the peculiarity,these,rstl_1826_0015.txt,txt_rstl
kingdom ? These facts offer an obvious,these,rstl_1826_0007.txt,txt_rstl
- These general facts have been known,these,Unknown,Unknown
chromic acid. These facts being understood and,these,rstl_1827_0018.txt,txt_rstl
chromium. ' These facts seemed to show,these,rstl_1827_0018.txt,txt_rstl
important ingredient. These facts strikingly coincide with,these,rstl_1827_0015.txt,txt_rstl
horizon ; these facts indicated the great,these,Unknown,Unknown
"the countenance. These facts are 80 distinct,",these,rstl_1829_0029.txt,txt_rstl
'cheek*. ? These facts close the evidence,these,rstl_1829_0029.txt,txt_rstl
in which these facts were determined. 'The,these,rstl_1829_0014.txt,txt_rstl
these classes of facts the following conclusions,these,Unknown,Unknown
"I mention these facts in some detail,",these,Unknown,Unknown
"to which these facts would otherwise lead,",these,rstl_1830_0021.txt,txt_rstl
the correction. These facts have been established,these,Unknown,Unknown
or injured. These facts I have observed,these,Unknown,Unknown
explanation of these facts is afforded by,these,Unknown,Unknown
principal of these facts is that of,these,rstl_1832_0016.txt,txt_rstl
of blood. These facts prove that arterial,these,rstl_1832_0016.txt,txt_rstl
recoiled forcibly. These facts lead us to,these,Unknown,Unknown
"life. By these facts it appears; 1st,",these,Unknown,Unknown
: but the facts we have seen,have,rstl_1823_0008.txt,txt_rstl
hot. From the facts which have been,have,rstl_1824_0018.txt,txt_rstl
by examining the facts that have been,have,rstl_1824_0018.txt,txt_rstl
process. From the facts which have been,have,rstl_1824_0018.txt,txt_rstl
experiments. Many singular facts have occurred in,have,rstl_1824_0015.txt,txt_rstl
tallic appearance. The facts I have observed,have,rstl_1824_0011.txt,txt_rstl
have ascertained many facts which I think,have,rstl_1824_0009.txt,txt_rstl
ceased. Many analogous facts have been observed,have,Unknown,Unknown
together all the facts which I have,have,Unknown,Unknown
merely propose stating facts that I have,have,rstl_1826_0034.txt,txt_rstl
"have idscovered novel facts and analogies, to",have,Unknown,Unknown
successfulin SD ascertaining facts which have escaped,have,rstl_1826_0029.txt,txt_rstl
discharged. From these facts I have been,have,rstl_1826_0028.txt,txt_rstl
- These general facts have been known,have,Unknown,Unknown
that all the facts I have stated,have,rstl_1827_0021.txt,txt_rstl
also tate the facts which I have,have,rstl_1827_0018.txt,txt_rstl
coneclusions from such facts as T have,have,Unknown,Unknown
"have inferred, from facts there stated, that",have,rstl_1828_0018.txt,txt_rstl
few of the facts which have been,have,rstl_1829_0029.txt,txt_rstl
perience or false facts have produced. Considerable,have,Unknown,Unknown
from the various facts which I have,have,rstl_1829_0024.txt,txt_rstl
the correction. These facts have been established,have,Unknown,Unknown
"from theory, of facts that have heen",have,Unknown,Unknown
Several of those facts I have been,have,Unknown,Unknown
or injured. These facts I have observed,have,Unknown,Unknown
distinguish between the facts which I am,i,rstl_1823_0023.txt,txt_rstl
on From the facts that I shall,i,Unknown,Unknown
to apply the facts of which I,i,rstl_1824_0018.txt,txt_rstl
tallic appearance. The facts I have observed,i,rstl_1824_0011.txt,txt_rstl
have ascertained many facts which I think,i,rstl_1824_0009.txt,txt_rstl
together all the facts which I have,i,Unknown,Unknown
merely propose stating facts that I have,i,rstl_1826_0034.txt,txt_rstl
discharged. From these facts I have been,i,rstl_1826_0028.txt,txt_rstl
that all the facts I have stated,i,rstl_1827_0021.txt,txt_rstl
also tate the facts which I have,i,rstl_1827_0018.txt,txt_rstl
inferred from several facts already known. I,i,rstl_1827_0018.txt,txt_rstl
"I think, important facts in the investigation",i,Unknown,Unknown
"by which the facts are illustrated, I",i,rstl_1827_0007.txt,txt_rstl
"19, 1828, THE facts which I communicated",i,Unknown,Unknown
briefly notice the facts which I as-,i,Unknown,Unknown
the review of facts which I now,i,rstl_1829_0024.txt,txt_rstl
from the various facts which I have,i,rstl_1829_0024.txt,txt_rstl
appear from many facts I am about,i,rstl_1829_0024.txt,txt_rstl
"I mention these facts in some detail,",i,Unknown,Unknown
Several of those facts I have been,i,Unknown,Unknown
or injured. These facts I have observed,i,Unknown,Unknown
distinguish between the facts which I am,which,rstl_1823_0023.txt,txt_rstl
"ensured by new facts and experiments, which",which,rstl_1823_0015.txt,txt_rstl
"ascertaining some other facts respecting steel, which",which,rstl_1824_0021.txt,txt_rstl
hot. From the facts which have been,which,rstl_1824_0018.txt,txt_rstl
process. From the facts which have been,which,rstl_1824_0018.txt,txt_rstl
to apply the facts of which I,which,rstl_1824_0018.txt,txt_rstl
have ascertained many facts which I think,which,rstl_1824_0009.txt,txt_rstl
together all the facts which I have,which,Unknown,Unknown
consideration the various facts which presented themselves,which,Unknown,Unknown
successfulin SD ascertaining facts which have escaped,which,rstl_1826_0029.txt,txt_rstl
also tate the facts which I have,which,rstl_1827_0018.txt,txt_rstl
as yet no facts which /indicate on,which,Unknown,Unknown
"by which the facts are illustrated, I",which,rstl_1827_0007.txt,txt_rstl
"19, 1828, THE facts which I communicated",which,Unknown,Unknown
briefly notice the facts which I as-,which,Unknown,Unknown
few of the facts which have been,which,rstl_1829_0029.txt,txt_rstl
publicity to the facts which prove that,which,rstl_1829_0029.txt,txt_rstl
the review of facts which I now,which,rstl_1829_0024.txt,txt_rstl
"had some new facts to state, which",which,rstl_1829_0024.txt,txt_rstl
from the various facts which I have,which,rstl_1829_0024.txt,txt_rstl
"other which the facts admit of, it",which,rstl_1829_0024.txt,txt_rstl
in which these facts were determined. 'The,which,rstl_1829_0014.txt,txt_rstl
countenanced by some facts which will presently,which,Unknown,Unknown
"to which these facts would otherwise lead,",which,rstl_1830_0021.txt,txt_rstl
that all the facts with which we,which,rstl_1831_0007.txt,txt_rstl
number of interesting facts which were thus,which,rstl_1831_0007.txt,txt_rstl
and from the facts on which that,which,rstl_1832_0016.txt,txt_rstl
Reflecting on the facts and observations which,which,rstl_1832_0013.txt,txt_rstl
of any distinct facts which authorize the,which,Unknown,Unknown
appears from the facts here detailed that,from,rstl_1823_0032.txt,txt_rstl
on From the facts that I shall,from,Unknown,Unknown
hot. From the facts which have been,from,rstl_1824_0018.txt,txt_rstl
process. From the facts which have been,from,rstl_1824_0018.txt,txt_rstl
"evident. from the facts above tated, that",from,Unknown,Unknown
all the principal: facts resulting from a,from,Unknown,Unknown
from the unquestionable facts collected in the,from,Unknown,Unknown
discharged. From these facts I have been,from,rstl_1826_0028.txt,txt_rstl
from the following facts : 15t. When,from,rstl_1826_0017.txt,txt_rstl
inferred from several facts already known. I,from,rstl_1827_0018.txt,txt_rstl
"me from the facts detailed, that in",from,rstl_1828_0021.txt,txt_rstl
coneclusions from such facts as T have,from,Unknown,Unknown
"have inferred, from facts there stated, that",from,rstl_1828_0018.txt,txt_rstl
is only from facts and observations such,from,Unknown,Unknown
from the various facts which I have,from,rstl_1829_0024.txt,txt_rstl
appear from many facts I am about,from,rstl_1829_0024.txt,txt_rstl
as appears from facts detailed'in the paper,from,rstl_1829_0024.txt,txt_rstl
"'suspicion, from some facts there stated by",from,Unknown,Unknown
"1830, 11. FROM facts connected with crystallization",from,rstl_1830_0018.txt,txt_rstl
"from theory, of facts that have heen",from,Unknown,Unknown
"appears from the facts there adduced, that",from,Unknown,Unknown
From the various facts stated or referred,from,Unknown,Unknown
and from the facts on which that,from,rstl_1832_0016.txt,txt_rstl
appears from the facts here detailed that,that,rstl_1823_0032.txt,txt_rstl
"these observations, the facts that might be",that,Unknown,Unknown
"of these two facts ; first, that",that,rstl_1823_0023.txt,txt_rstl
that these general facts of the condensation,that,rstl_1823_0020.txt,txt_rstl
on From the facts that I shall,that,Unknown,Unknown
by examining the facts that have been,that,rstl_1824_0018.txt,txt_rstl
carbonic oxide. These facts show that at,that,rstl_1824_0018.txt,txt_rstl
"present, that the facts now adduced seem",that,Unknown,Unknown
"evident. from the facts above tated, that",that,Unknown,Unknown
recorded; many curious facts corroborative of that,that,Unknown,Unknown
merely propose stating facts that I have,that,rstl_1826_0034.txt,txt_rstl
the most extraordinary facts that has yet,that,Unknown,Unknown
that all the facts I have stated,that,rstl_1827_0021.txt,txt_rstl
"representations of the facts that were ascertained,",that,rstl_1827_0007.txt,txt_rstl
"me from the facts detailed, that in",that,rstl_1828_0021.txt,txt_rstl
"by the following facts to believe, that",that,rstl_1828_0018.txt,txt_rstl
"have inferred, from facts there stated, that",that,rstl_1828_0018.txt,txt_rstl
publicity to the facts which prove that,that,rstl_1829_0029.txt,txt_rstl
"from theory, of facts that have heen",that,Unknown,Unknown
"appears from the facts there adduced, that",that,Unknown,Unknown
that all the facts with which we,that,rstl_1831_0007.txt,txt_rstl
"that although some facts already made known,",that,Unknown,Unknown
recollected the singular facts recorded by that,that,Unknown,Unknown
principal of these facts is that of,that,rstl_1832_0016.txt,txt_rstl
of blood. These facts prove that arterial,that,rstl_1832_0016.txt,txt_rstl
and from the facts on which that,that,rstl_1832_0016.txt,txt_rstl
appears from the facts here detailed that,the,rstl_1823_0032.txt,txt_rstl
"the analogies and facts of physio- logy,",the,rstl_1823_0031.txt,txt_rstl
one view the facts pointed out by,the,Unknown,Unknown
"these observations, the facts that might be",the,Unknown,Unknown
distinguish between the facts which I am,the,rstl_1823_0023.txt,txt_rstl
importance of the facts may give some,the,rstl_1823_0023.txt,txt_rstl
disre- garded the facts of anatomy. There,the,rstl_1823_0023.txt,txt_rstl
that these general facts of the condensation,the,rstl_1823_0020.txt,txt_rstl
as the following facts seem to prove.,the,rstl_1823_0015.txt,txt_rstl
to identify the facts they were in-,the,rstl_1823_0014.txt,txt_rstl
: but the facts we have seen,the,rstl_1823_0008.txt,txt_rstl
the most curious facts respecting muscular motion,the,rstl_1823_0001.txt,txt_rstl
on From the facts that I shall,the,Unknown,Unknown
"Comparing these naked facts together, the first",the,Unknown,Unknown
hot. From the facts which have been,the,rstl_1824_0018.txt,txt_rstl
by examining the facts that have been,the,rstl_1824_0018.txt,txt_rstl
