John Bennet Lawes,1900-01-01,10.1098/rstb.1900.0003,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0003,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0003?download=true,/doi/epdf/10.1098/rstb.1900.0003,The Royal SocietyLondon,"III. Agricultural, botanical, and chemical results of experiments on the mixed herbage of permanent grass-land, conducted for many years in succession on the same land.—Part III. The chemical results.— section I"
Brian M. Wood,2024-10-21,rstb20220521,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0521,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0521?download=true,/doi/epdf/10.1098/rstb.2022.0521,The Royal Society,Beyond the here and now hunter–gatherer socio-spatial complexity and the evolution of language
Maria Dawson,1900-01-01,10.1098/rstb.1900.0010,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0010,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0010?download=true,/doi/epdf/10.1098/rstb.1900.0010,The Royal SocietyLondon,IV. Further observations on the nature and functions of the nodules of leguminous plants
E. Waymouth Reid,1900-01-01,10.1098/rstb.1900.0004,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0004,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0004?download=true,/doi/epdf/10.1098/rstb.1900.0004,The Royal SocietyLondon,"IV. On intestinal absorption, especially on the absorption of serum, peptone, and glucose"
Leonard Erskine Hill,1900-01-01,10.1098/rstb.1900.0011,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0011,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0011?download=true,/doi/epdf/10.1098/rstb.1900.0011,The Royal SocietyLondon,V. On cerebral anœmia and the effects which follow ligation of the cerebral arteries
Sir Graham Kerr,1900-01-01,10.1098/rstb.1900.0005,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0005,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0005?download=true,/doi/epdf/10.1098/rstb.1900.0005,The Royal SocietyLondon,"V. The the external features the development of lepidosiren paradoxa, Fitz"
Aakash Pandey,2024-10-21,rstb20220532,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0532,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0532?download=true,/doi/epdf/10.1098/rstb.2022.0532,The Royal Society,The influence of social and spatial processes on the epidemiology of environmentally transmitted pathogens in wildlife implications for management
Roger S. Zoh,2023-10-23,10.1098/rstb.2022.0227,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0227,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0227?download=true,/doi/epdf/10.1098/rstb.2022.0227,The Royal Society,"Causal models and causal modelling in obesity foundations, methods and evidence"
Shyamalika Gopalan,2022-6-6,10.1098/rstb.2020.0410,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0410,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0410?download=true,/doi/epdf/10.1098/rstb.2020.0410,The Royal Society,Human genetic admixture through the lens of population genomics
Jonathan Michael Kaplan†,2022-6-6,10.1098/rstb.2020.0427,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0427,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0427?download=true,/doi/epdf/10.1098/rstb.2020.0427,The Royal Society,"Polygenic risk, population structure and ongoing difficulties with race in human genetics"
Hao Shen,2022-6-6,10.1098/rstb.2020.0417,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0417,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0417?download=true,/doi/epdf/10.1098/rstb.2020.0417,The Royal Society,"Diversity and its causes Lewontin on racism, biological determinism and the adaptationist programme"
André Silva Maróstica†,2022-6-6,10.1098/rstb.2020.0420,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0420,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0420?download=true,/doi/epdf/10.1098/rstb.2020.0420,The Royal Society,How HLA diversity is apportioned influence of selection and relevance to transplantation
Mark A. Jobling,2022-6-6,10.1098/rstb.2020.0422,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0422,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0422?download=true,/doi/epdf/10.1098/rstb.2020.0422,The Royal Society,"Forensic genetics through the lens of Lewontin population structure, ancestry and race"
Marcus W. Feldman,2018-4-5,10.1098/rstb.2017.0064,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0064,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0064?download=true,/doi/epdf/10.1098/rstb.2017.0064,The Royal Society,"Missing compared to what Revisiting heritability, genes and culture"
Juan Esteban Rodríguez-Rodríguez†,2022-6-6,10.1098/rstb.2020.0419,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0419,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0419?download=true,/doi/epdf/10.1098/rstb.2020.0419,The Royal Society,The genetic legacy of the Manila galleon trade in Mexico
Megan Aylward,2022-6-6,10.1098/rstb.2020.0418,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0418,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0418?download=true,/doi/epdf/10.1098/rstb.2020.0418,The Royal Society,How methodological changes have influenced our understanding of population structure in threatened species insights from tiger populations across India
Nina G. Jablonski,2017-7-5,10.1098/rstb.2016.0349,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0349,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0349?download=true,/doi/epdf/10.1098/rstb.2016.0349,The Royal Society,The colours of humanity the evolution of pigmentation in the human lineage
Laurel Fogarty,2018-4-5,10.1098/rstb.2017.0063,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0063,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0063?download=true,/doi/epdf/10.1098/rstb.2017.0063,The Royal Society,Cultural complexity and evolution in fluctuating environments
Károly Takács,2021-11-22,10.1098/rstb.2020.0297,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0297,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0297?download=true,/doi/epdf/10.1098/rstb.2020.0297,The Royal Society,Networks of reliable reputations and cooperation a review
Laura Torres Borda,2021-12-20,10.1098/rstb.2020.0456,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0456,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0456?download=true,/doi/epdf/10.1098/rstb.2020.0456,The Royal Society,Vocal plasticity in harbour seal pups
Bodo Winter,2021-12-20,10.1098/rstb.2020.0400,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0400,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0400?download=true,/doi/epdf/10.1098/rstb.2020.0400,The Royal Society,Rethinking the frequency code a meta-analytic review of the role of acoustic body size in communicative phenomena
Hannah M. Rowland,2017-7-5,10.1098/rstb.2016.0350,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0350,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0350?download=true,/doi/epdf/10.1098/rstb.2016.0350,The Royal Society,Human colour in mate choice and competition
Devi Stuart-Fox,2017-7-5,10.1098/rstb.2016.0345,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0345,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0345?download=true,/doi/epdf/10.1098/rstb.2016.0345,The Royal Society,Thermal consequences of colour and near-infrared reflectance
Laurel Fogarty,2017-12-5,10.1098/rstb.2016.0428,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0428,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0428?download=true,/doi/epdf/10.1098/rstb.2016.0428,The Royal Society,"The niche construction of cultural complexity interactions between innovations, population size and the environment"
Tim Caro,2017-7-5,10.1098/rstb.2016.0344,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0344,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0344?download=true,/doi/epdf/10.1098/rstb.2016.0344,The Royal Society,Interspecific visual signalling in animals and plants a functional classification
V. P. Weinberger,2017-12-5,10.1098/rstb.2016.0415,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0415,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0415?download=true,/doi/epdf/10.1098/rstb.2016.0415,The Royal Society,Innovation and the growth of human population
Martin A. Nowak,2010-1-12,10.1098/rstb.2009.0215,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2009.0215,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2009.0215?download=true,/doi/epdf/10.1098/rstb.2009.0215,The Royal Society,Evolutionary dynamics in structured populations
author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Aakash Pandey,2024-10-21,rstb20220532,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0532,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0532?download=true,/doi/epdf/10.1098/rstb.2022.0532,The Royal Society,The influence of social and spatial processes on the epidemiology of environmentally transmitted pathogens in wildlife implications for management
Roger S. Zoh,2023-10-23,10.1098/rstb.2022.0227,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0227,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0227?download=true,/doi/epdf/10.1098/rstb.2022.0227,The Royal Society,"Causal models and causal modelling in obesity foundations, methods and evidence"
Shyamalika Gopalan,2022-6-6,10.1098/rstb.2020.0410,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0410,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0410?download=true,/doi/epdf/10.1098/rstb.2020.0410,The Royal Society,Human genetic admixture through the lens of population genomics
Jonathan Michael Kaplan†,2022-6-6,10.1098/rstb.2020.0427,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0427,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0427?download=true,/doi/epdf/10.1098/rstb.2020.0427,The Royal Society,"Polygenic risk, population structure and ongoing difficulties with race in human genetics"
Hao Shen,2022-6-6,10.1098/rstb.2020.0417,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0417,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0417?download=true,/doi/epdf/10.1098/rstb.2020.0417,The Royal Society,"Diversity and its causes Lewontin on racism, biological determinism and the adaptationist programme"
André Silva Maróstica†,2022-6-6,10.1098/rstb.2020.0420,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0420,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0420?download=true,/doi/epdf/10.1098/rstb.2020.0420,The Royal Society,How HLA diversity is apportioned influence of selection and relevance to transplantation
