No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,attention,456,0.20,27,119,5.06
2,due,2205,0.98,67,184,4.10
3,matter,1392,0.62,42,139,4.09
4,that,31420,13.91,782,219,3.81
5,shown,2346,1.04,26,206,2.65
6,this,20850,9.23,125,220,1.76
7,they,5302,2.35,31,214,1.72
8,in,79960,35.40,464,222,1.71
9,by,28148,12.46,143,222,1.52
10,there,6502,2.88,27,210,1.23
11,is,52855,23.40,204,221,1.12
12,from,19883,8.80,76,220,1.11
13,it,25333,11.22,95,219,1.08
14,no,7152,3.17,26,215,1.04
15,we,12503,5.54,44,202,0.99
16,when,7254,3.21,25,209,0.96
17,to,67046,29.68,216,221,0.86
18,the,333462,147.64,1008,222,0.77
19,is,52855,23.40,154,221,0.72
20,not,11693,5.18,32,214,0.63
21,an,9652,4.27,24,219,0.49
22,have,11464,5.08,28,219,0.46
23,as,28307,12.53,69,220,0.46
24,are,19949,8.83,48,218,0.44
25,be,25934,11.48,62,219,0.43
26,not,11693,5.18,27,214,0.38
27,as,28307,12.53,62,220,0.31
28,the,333462,147.64,674,222,0.19
29,in,79960,35.40,161,222,0.19
30,but,11950,5.29,24,219,0.18
31,be,25934,11.48,51,219,0.15
32,it,25333,11.22,49,219,0.13
33,for,16130,7.14,31,222,0.12
34,which,24053,10.65,45,220,0.08
35,this,20850,9.23,39,220,0.08
36,with,24227,10.73,45,219,0.07
37,was,19490,8.63,36,219,0.06
38,a,72678,32.18,120,221,-0.10
39,and,82270,36.43,126,223,-0.21
40,with,24227,10.73,37,219,-0.21
41,of,182658,80.87,271,223,-0.26
42,by,28148,12.46,41,222,-0.28
43,are,19949,8.83,25,218,-0.50
44,to,67046,29.68,82,221,-0.53
45,of,182658,80.87,203,223,-0.67
46,a,72678,32.18,79,221,-0.70
47,on,24643,10.91,25,223,-0.80
48,and,82270,36.43,34,223,-2.10
