https://example.com/collocation-analysis
There are 1611664 different words in your collocation database. (Your query returned 1747 matches in 134 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	undermined	23	0.01	5	20	9.24
2	fiction	60	0.02	10	11	8.86
3	lsw	158	0.06	5	3	6.46
4	reflects	697	0.25	22	432	6.46
5	complicated	422	0.15	13	256	6.42
6	despite	2269	0.82	64	1038	6.29
7	motivated	594	0.21	16	295	6.23
8	explained	1237	0.44	30	621	6.08
9	due	5623	2.02	115	1246	5.83
10	stem	1092	0.39	21	228	5.74
11	lie	843	0.30	16	200	5.72
12	aware	282	0.10	5	197	5.63
13	reflecting	456	0.16	8	300	5.61
14	attributed	571	0.21	9	359	5.46
15	besides	324	0.12	5	186	5.42
16	refers	525	0.19	7	325	5.21
17	exploit	376	0.14	5	197	5.21
18	matter	2421	0.87	31	493	5.16
19	relies	489	0.18	6	342	5.09
20	account	3226	1.16	35	960	4.92
21	come	1972	0.71	20	608	4.82
22	arises	525	0.19	5	303	4.73
23	accounting	534	0.19	5	300	4.70
24	reflect	1376	0.49	12	691	4.60
25	owing	2278	0.82	17	703	4.38
26	highlight	1509	0.54	11	582	4.34
27	smooth	715	0.26	5	209	4.28
28	established	1346	0.48	9	660	4.22
29	considering	1505	0.54	10	777	4.21
30	supported	2368	0.85	15	1150	4.14
31	advantage	1696	0.61	10	569	4.04
32	created	897	0.32	5	486	3.96
33	speaker	958	0.34	5	68	3.86
34	related	4717	1.69	22	1387	3.70
35	agreement	1293	0.46	6	540	3.69
36	majority	1082	0.39	5	566	3.69
37	noted	1250	0.45	5	581	3.48
38	follows	2005	0.72	8	490	3.47
39	consistent	3062	1.10	12	1010	3.45
40	basic	1631	0.59	6	749	3.36
41	attention	2074	0.75	7	672	3.23
42	many	8548	3.07	28	1602	3.19
43	simple	3170	1.14	10	1018	3.13
44	abstract	1607	0.58	5	177	3.11
45	combined	1754	0.63	5	818	2.99
46	assumption	2474	0.89	7	558	2.98
47	several	4652	1.67	13	1380	2.96
48	known	3929	1.41	10	1290	2.82
49	much	4511	1.62	11	1351	2.76
50	even	7092	2.55	17	1531	2.74
51	despite	2269	0.82	5	1038	2.62
52	culture	3228	1.16	7	296	2.59
53	given	8333	2.99	18	1580	2.59
54	recent	4730	1.70	10	1399	2.56
55	based	9336	3.35	19	1686	2.50
56	consequence	3049	1.10	6	402	2.45
57	view	3261	1.17	6	779	2.36
58	nature	6578	2.36	11	1450	2.22
59	suggest	3070	1.10	5	1093	2.18
60	may	22081	7.93	35	1727	2.14
61	since	5061	1.82	8	1307	2.14
62	culture	3228	1.16	5	296	2.11
63	known	3929	1.41	6	1290	2.09
64	problem	6586	2.37	10	783	2.08
65	representation	3314	1.19	5	539	2.07
66	agent	3323	1.19	5	210	2.07
67	might	5334	1.92	8	1145	2.06
68	along	4091	1.47	6	1127	2.03
69	often	5600	2.01	8	1345	1.99
70	participant	4360	1.57	6	143	1.94
71	likely	6014	2.16	8	1270	1.89
72	language	6940	2.49	9	484	1.85
73	observed	7761	2.79	10	1377	1.84
74	light	4714	1.69	6	883	1.82
75	using	19786	7.11	25	1780	1.81
76	general	4773	1.71	6	1232	1.81
77	lead	4997	1.80	6	1119	1.74
78	note	4303	1.55	5	1053	1.69
79	possible	6134	2.20	7	1483	1.67
80	may	22081	7.93	25	1727	1.66
81	found	8943	3.21	10	1554	1.64
82	equation	10977	3.94	12	639	1.61
83	term	9163	3.29	10	899	1.60
84	solution	7443	2.67	8	687	1.58
85	important	7465	2.68	8	1619	1.58
86	individual	17427	6.26	18	1297	1.52
87	well	8783	3.16	9	1675	1.51
88	early	5957	2.14	6	1116	1.49
89	body	5018	1.80	5	744	1.47
90	different	18426	6.62	18	1785	1.44
91	although	5136	1.85	5	1404	1.44
92	current	5273	1.89	5	1207	1.40
93	cultural	5311	1.91	5	375	1.39
94	important	7465	2.68	7	1619	1.38
95	might	5334	1.92	5	1145	1.38
96	result	17106	6.15	16	1375	1.38
97	however	13174	4.73	12	233	1.34
98	point	7925	2.85	7	1207	1.30
99	genetic	6803	2.44	6	658	1.30
100	density	5690	2.04	5	809	1.29
101	chromosome	5699	2.05	5	132	1.29
102	result	17106	6.15	15	1375	1.29
103	shown	8200	2.95	7	1513	1.25
104	sample	7234	2.60	6	761	1.21
105	possible	6134	2.20	5	1483	1.18
106	human	18653	6.70	15	1129	1.16
107	could	10190	3.66	8	1586	1.13
108	space	6383	2.29	5	936	1.12
109	line	6749	2.42	5	981	1.04
110	equation	10977	3.94	8	639	1.02
111	brain	6875	2.47	5	514	1.02
112	language	6940	2.49	5	484	1.00
113	similar	7183	2.58	5	1588	0.95
114	figure	37466	13.46	26	1633	0.95
115	high	10173	3.65	7	1566	0.94
116	thus	8771	3.15	6	1268	0.93
117	solution	7443	2.67	5	687	0.90
118	plant	7470	2.68	5	412	0.90
119	type	9250	3.32	6	1109	0.85
120	increase	9445	3.39	6	1336	0.82
121	use	12600	4.53	8	1675	0.82
122	cell	14395	5.17	9	672	0.80
123	see	13034	4.68	8	1497	0.77
124	would	9818	3.53	6	1605	0.77
125	large	8312	2.99	5	1531	0.74
126	female	8573	3.08	5	424	0.70
127	used	16216	5.83	9	1752	0.63
128	specie	23830	8.56	13	3	0.60
