Context,Collocate,File,Directory,Year
On a review of the facts stated in the course of,stated,rstl_1841_0018.txt,txt_rstl,1841
the eggs ; but the facts now about to be stated,stated,rstl_1841_0012.txt,txt_rstl,1841
"baryta, and others, confirm the facts already stated ; viz. that",stated,rstl_1843_0003.txt,txt_rstl,1843
the urine alkaline; and from facts which have been stated to,stated,rstl_1845_0015.txt,txt_rstl,1845
easily accounted for by the facts already stated of irregular composition,stated,rstl_1845_0006.txt,txt_rstl,1845
"a sulphate, &c. : the facts stated are suffi- cient to",stated,rstl_1846_0012.txt,txt_rstl,1846
"a given point belonged. The facts that I have stated lead,",stated,rstl_1849_0021.txt,txt_rstl,1849
conelusions are deducible from the facts stated in the pre- ceding,stated,rstl_1849_0022.txt,txt_rstl,1849
which the accuracy of the facts stated in this paper are,stated,rstl_1850_0027.txt,txt_rstl,1850
"confirm, from European localities, the facts I have stated respecting the",stated,rstl_1850_0016.txt,txt_rstl,1850
"resolved. Notwithstanding these differences, however, facts mentioned by authors regarding the",these,rstl_1841_0017.txt,txt_rstl,1841
"is not 80 much these facts to which I ask attention,",these,rstl_1841_0018.txt,txt_rstl,1841
61 and 62. 63. Such facts as these appear to warrant,these,rstl_1841_0018.txt,txt_rstl,1841
"from morning till night. These facts are perfectly normal*, and are",these,rstl_1842_0015.txt,txt_rstl,1842
itself (fig. 14. c). These facts seem further to show that,these,rstl_1843_0013.txt,txt_rstl,1843
with the orifices. From these facts it would appear that the,these,rstl_1843_0013.txt,txt_rstl,1843
divisions of Myriapoda. These additional facts fully accord with the already,these,rstl_1843_0013.txt,txt_rstl,1843
my observations were discontinued. These facts sufficiently show that a power,these,rstl_1844_0009.txt,txt_rstl,1844
"was every reason, with these facts before us, to expect that",these,rstl_1844_0003.txt,txt_rstl,1844
"of lead in Solution. These facts are well known, and prove",these,rstl_1844_0002.txt,txt_rstl,1844
"exclusion of the anion. These facts are, we believe, irreconcilable with",these,rstl_1844_0001.txt,txt_rstl,1844
"fix the attention. These are facts which, when the true physical",these,rstl_1844_0007.txt,txt_rstl,1844
From the sum of these facts I am again forced to,these,rstl_1845_0012.txt,txt_rstl,1845
"From the whole of these facts I was led to conclude,",these,rstl_1845_0013.txt,txt_rstl,1845
at a knowledge of these facts I have repeated and varied,these,rstl_1845_0013.txt,txt_rstl,1845
this moment in analysing these facts ; it is sufficient at,these,rstl_1845_0013.txt,txt_rstl,1845
our own country. 3rdly. These facts place in rather a new,these,rstl_1845_0007.txt,txt_rstl,1845
see the application of these facts to the vocal apparatus. We,these,rstl_1846_0028.txt,txt_rstl,1846
were expiratory. These were the facts ; | I could not,these,rstl_1846_0027.txt,txt_rstl,1846
"effusion rate. But, before these facts were ascertained this jet became",these,rstl_1846_0029.txt,txt_rstl,1846
to 089 inch. As the facts shown by these observations are,these,rstl_1846_0020.txt,txt_rstl,1846
vessels in the neighbourhood. These facts were demonstrated by preparations at,these,rstl_1846_0017.txt,txt_rstl,1846
"hyponitric acid, &. From these facts it appears that nitric acid",these,rstl_1846_0012.txt,txt_rstl,1846
"the entire organ, These same facts are verified also by including",these,rstl_1847_0014.txt,txt_rstl,1847
combination with that substance. These facts led me to suspect that,these,rstl_1848_0010.txt,txt_rstl,1848
combines these and many other facts respecting the tides into a,these,rstl_1848_0001.txt,txt_rstl,1848
pass through the tissue. These facts of course do away with,these,rstl_1849_0023.txt,txt_rstl,1849
"and teeth of Macropoma. These facts (if correctly interpreted, and T",these,rstl_1849_0023.txt,txt_rstl,1849
very desirable to test these facts by further experiments. (47.) The,these,rstl_1850_0035.txt,txt_rstl,1850
"less frequently performed*. With these facts before us, we can scarcely",these,rstl_1850_0037.txt,txt_rstl,1850
which it is a consequence. Facts corresponding to these cases of,these,rstl_1850_0038.txt,txt_rstl,1850
"vol, xi. 251. + These facts have been cited by L1zn16",these,rstl_1850_0038.txt,txt_rstl,1850
"the impression made by these facts upon TatnaRD, who first discovered",these,rstl_1850_0038.txt,txt_rstl,1850
the scientific conception of these facts from the electro- chemical point,these,rstl_1850_0038.txt,txt_rstl,1850
supplies an explanation of these facts at once adequate and imple;,these,rstl_1850_0038.txt,txt_rstl,1850
"always present, being dissolved. These facts are contrary to the usual",these,rstl_1850_0038.txt,txt_rstl,1850
"may express these facts, the facts themselves are the 8ame. We",these,rstl_1850_0038.txt,txt_rstl,1850
"24 : 16'5, From these facts it is evident that the",these,rstl_1850_0036.txt,txt_rstl,1850
of the plates. From these facts I would infer that single,these,rstl_1850_0036.txt,txt_rstl,1850
"of the bars. These interesting facts are of considerable value, as",these,rstl_1850_0036.txt,txt_rstl,1850
to the optic lobes. These facts I think are of some,these,rstl_1850_0009.txt,txt_rstl,1850
form of heat: from these facts I considered myself justified in,these,rstl_1850_0004.txt,txt_rstl,1850
the 21st of May. These facts Dr. Butsr recorded in a,these,rstl_1850_0016.txt,txt_rstl,1850
and 367 inches respectively. These facts suggest caution to all ob-,these,rstl_1850_0016.txt,txt_rstl,1850
