"author","date","identifier","language","og_url","pdf_download_link","pdf_link","publisher","title","keywords","subjects"
"F. Nikolaou and C. Orphanidou and P. Papakyriakou and K. Murphy and R. G. Wise and G. D. Mitsis","2016-5-13","10.1098/rsta.2015.0183","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0183","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0183?download=true","/doi/epdf/10.1098/rsta.2015.0183","The Royal Society Publishing","Spontaneous physiological variability modulates dynamic functional connectivity in resting-state functional magnetic resonance imaging",NA,NA
"Jia-Rong Yeh and Chung-Kang Peng and Norden E. Huang","2016-4-13","10.1098/rsta.2015.0204","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0204","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0204?download=true","/doi/epdf/10.1098/rsta.2015.0204","The Royal Society Publishing","Scale-dependent intrinsic entropies of complex time series",NA,NA
"Andrea Duggento and Marta Bianciardi and Luca Passamonti and Lawrence L. Wald and Maria Guerrisi and Riccardo Barbieri and Nicola Toschi","2016-5-13","10.1098/rsta.2015.0185","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0185","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0185?download=true","/doi/epdf/10.1098/rsta.2015.0185","The Royal Society Publishing","Globally conditioned Granger causality in brain–brain and brain–heart interactions a combined heart rate variabilityultra-high-field (7 T) functional magnetic resonance imaging study",NA,NA
"Emmanuel Haven","2016-5-28","10.1098/rsta.2015.0237","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0237","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0237?download=true","/doi/epdf/10.1098/rsta.2015.0237","The Royal Society Publishing","Links between fluid mechanics and quantum mechanics a model for information in economics",NA,NA
"Martin Burger and Luis Caffarelli and Peter A. Markowich","2014-11-13","10.1098/rsta.2013.0406","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0406","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0406?download=true","/doi/epdf/10.1098/rsta.2013.0406","The Royal Society Publishing","Partial differential equation models in the socio-economic sciences",NA,NA
"Peter Beaumont and Costas Soutis","2016-7-13","10.1098/rsta.2015.0284","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0284","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0284?download=true","/doi/epdf/10.1098/rsta.2015.0284","The Royal Society Publishing","Multiscale modelling of the structural integrity of composite materials",NA,NA
"P. Boisse and N. Hamila and A. Madeo","2016-7-13","10.1098/rsta.2015.0269","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0269","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0269?download=true","/doi/epdf/10.1098/rsta.2015.0269","The Royal Society Publishing","Modelling the development of defects during composite reinforcements and prepreg forming",NA,NA
"Alastair Johnson and Costas Soutis and Anthony Waas and Carl Zweben","2016-7-13","10.1098/rsta.2016.0075","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2016.0075","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2016.0075?download=true","/doi/epdf/10.1098/rsta.2016.0075","The Royal Society Publishing","Summary and concluding remarks",NA,NA
"N. K. Bourne and S. Parry and D. Townsend and P. J. Withers and C. Soutis and C. Frias","2016-7-13","10.1098/rsta.2016.0018","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2016.0018","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2016.0018?download=true","/doi/epdf/10.1098/rsta.2016.0018","The Royal Society Publishing","Dynamic damage in carbon-fibre composites",NA,NA
"A. Thionnet and A. R. Bunsell","2016-7-13","10.1098/rsta.2015.0270","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0270","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0270?download=true","/doi/epdf/10.1098/rsta.2015.0270","The Royal Society Publishing","Fibre break failure processes in unidirectional composites evaluation of critical damage states",NA,NA
"Ivana K. Partridge and Stephen R. Hallett","2016-7-13","10.1098/rsta.2015.0277","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0277","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0277?download=true","/doi/epdf/10.1098/rsta.2015.0277","The Royal Society Publishing","Use of microfasteners to produce damage tolerant composite structures",NA,NA
"Gordon Bell","2016-7-28","10.1098/rsta.2015.0137","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0137","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0137?download=true","/doi/epdf/10.1098/rsta.2015.0137","The Royal Society Publishing","Non-ionic surfactant phase diagram prediction by recursive partitioning",NA,NA
"Leonie van 't Hag and Konstantin Knoblich and Shane A. Seabrook and Nigel M. Kirby and Stephen T. Mudie and Deborah Lau and Xu Li and Sally L. Gras and Xavier Mulet and Matthew E. Call and Melissa J. Call and Calum J. Drummond and Charlotte E. Conn","2016-7-28","10.1098/rsta.2015.0125","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0125","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0125?download=true","/doi/epdf/10.1098/rsta.2015.0125","The Royal Society Publishing","Exploring the in meso crystallization mechanism by characterizing the lipid mesophase microenvironment during the growth of single transmembrane α-helical peptide crystals",NA,NA
"Jaiyana Bux and Mohamed S. Manga and Timothy N. Hunter and Simon Biggs","2016-7-28","10.1098/rsta.2015.0134","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0134","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0134?download=true","/doi/epdf/10.1098/rsta.2015.0134","The Royal Society Publishing","Manufacture of poly(methyl methacrylate) microspheres using membrane emulsification",NA,NA
"Dorra Saidane and Emilie Perrin and Fanch Cherhal and Florian Guellec and Isabelle Capron","2016-7-28","10.1098/rsta.2015.0139","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0139","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0139?download=true","/doi/epdf/10.1098/rsta.2015.0139","The Royal Society Publishing","Some modification of cellulose nanocrystals for functional Pickering emulsions",NA,NA
"Eitan Tadmor and Changhui Tan","2014-11-13","10.1098/rsta.2013.0401","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0401","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0401?download=true","/doi/epdf/10.1098/rsta.2013.0401","The Royal Society Publishing","Critical thresholds in flocking hydrodynamics with non-local alignment",NA,NA
"Lluís Mañosa and Antoni Planes","2016-8-13","10.1098/rsta.2015.0310","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0310","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0310?download=true","/doi/epdf/10.1098/rsta.2015.0310","The Royal Society Publishing","Mechanocaloric effects in shape memory alloys",NA,NA
"Adrien Blanchet and Guillaume Carlier","2014-11-13","10.1098/rsta.2013.0398","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0398","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0398?download=true","/doi/epdf/10.1098/rsta.2013.0398","The Royal Society Publishing","From Nash to Cournot–Nash equilibria via the Monge–Kantorovich problem",NA,NA
"Massimo Fornasier and Benedetto Piccoli and Francesco Rossi","2014-11-13","10.1098/rsta.2013.0400","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0400","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0400?download=true","/doi/epdf/10.1098/rsta.2013.0400","The Royal Society Publishing","Mean-field sparse optimal control",NA,NA
"J. T. Woodworth and G. O. Mohler and A. L. Bertozzi and P. J. Brantingham","2014-11-13","10.1098/rsta.2013.0403","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0403","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0403?download=true","/doi/epdf/10.1098/rsta.2013.0403","The Royal Society Publishing","Non-local crime density estimation incorporating housing information",NA,NA
"Ralf Engbers and Martin Burger and Vincenzo Capasso","2014-11-13","10.1098/rsta.2013.0402","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0402","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0402?download=true","/doi/epdf/10.1098/rsta.2013.0402","The Royal Society Publishing","Inverse problems in geographical economics parameter identification in the spatial Solow model",NA,NA
"Diogo Gomes and Roberto M. Velho and Marie-Therese Wolfram","2014-11-13","10.1098/rsta.2013.0405","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0405","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0405?download=true","/doi/epdf/10.1098/rsta.2013.0405","The Royal Society Publishing","Socio-economic applications of finite state mean field games",NA,NA
"Yves Achdou and Francisco J. Buera and Jean-Michel Lasry and Pierre-Louis Lions and Benjamin Moll","2014-11-13","10.1098/rsta.2013.0397","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0397","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0397?download=true","/doi/epdf/10.1098/rsta.2013.0397","The Royal Society Publishing","Partial differential equation models in macroeconomics",NA,NA
"L. Bahloul and L. Cherbi and A. Hariz and M. Tlidi","2014-10-28","10.1098/rsta.2014.0020","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0020","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0020?download=true","/doi/epdf/10.1098/rsta.2014.0020","The Royal Society Publishing","Temporal localized structures in photonic crystal fibre resonators and their spontaneous symmetry-breaking instability",NA,NA
"Jan Jehlička and Howell G. M. Edwards","2014-12-13","10.1098/rsta.2014.0207","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0207","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0207?download=true","/doi/epdf/10.1098/rsta.2014.0207","The Royal Society Publishing","Raman spectroscopy meets extremophiles on Earth and Mars studies for successful search of life",NA,NA
"Ricardo Martínez-García and Justin M. Calabrese and Emilio Hernández-García and Cristóbal López","2014-10-28","10.1098/rsta.2014.0068","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0068","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0068?download=true","/doi/epdf/10.1098/rsta.2014.0068","The Royal Society Publishing","Minimal mechanisms for vegetation patterns in semiarid regions",NA,NA
"Craig P Marshall and Alison Olcott Marshall","2014-12-13","10.1098/rsta.2014.0195","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0195","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0195?download=true","/doi/epdf/10.1098/rsta.2014.0195","The Royal Society Publishing","Raman spectroscopy as a screening tool for ancient life detection on Mars",NA,NA
"Howell G. M. Edwards","2014-12-13","10.1098/rsta.2014.0206","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0206","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0206?download=true","/doi/epdf/10.1098/rsta.2014.0206","The Royal Society Publishing","Will-o'-the-Wisp an ancient mystery with extremophile origins",NA,NA
"Z. Maalick and H. Korhonen and H. Kokkola and T. Kühn and S. Romakkaniemi","2014-12-28","10.1098/rsta.2014.0051","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0051","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0051?download=true","/doi/epdf/10.1098/rsta.2014.0051","The Royal Society Publishing","Modelling artificial sea salt emission in large eddy simulations",NA,NA
"P. Oldham and B. Szerszynski and J. Stilgoe and C. Brown and B. Eacott and A. Yuille","2014-12-28","10.1098/rsta.2014.0065","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0065","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0065?download=true","/doi/epdf/10.1098/rsta.2014.0065","The Royal Society Publishing","Mapping the landscape of climate engineering",NA,NA
"T. W. B. Kibble","2015-1-13","10.1098/rsta.2014.0033","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0033","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0033?download=true","/doi/epdf/10.1098/rsta.2014.0033","The Royal Society Publishing","Spontaneous symmetry breaking in gauge theories",NA,NA
"Pippa S. Wells","2015-1-13","10.1098/rsta.2014.0046","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0046","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0046?download=true","/doi/epdf/10.1098/rsta.2014.0046","The Royal Society Publishing","The upgraded ATLAS and CMS detectors and their physics capabilities",NA,NA
"Rémi Bourguet and Michael S. Triantafyllou","2015-1-28","10.1098/rsta.2014.0108","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0108","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0108?download=true","/doi/epdf/10.1098/rsta.2014.0108","The Royal Society Publishing","Vortex-induced vibrations of a flexible cylinder at large inclination angle",NA,NA
"M. Drago and M. Mattioli and R. Bruschi and L. Vitali","2015-1-28","10.1098/rsta.2014.0111","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0111","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0111?download=true","/doi/epdf/10.1098/rsta.2014.0111","The Royal Society Publishing","Insights on the design of free-spanning pipelines",NA,NA
"C. Swan and R. Sheikh","2015-1-28","10.1098/rsta.2014.0114","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0114","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0114?download=true","/doi/epdf/10.1098/rsta.2014.0114","The Royal Society Publishing","The interaction between steep waves and a surface-piercing column",NA,NA
"Stephen Salter and Graham Sortino and John Latham","2008-8-29","rsta20080136","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0136","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0136?download=true","/doi/epdf/10.1098/rsta.2008.0136","The Royal SocietyLondon","Sea-going hardware for the cloud albedo method of reversing global warming",NA,NA
"José Fernando Valencia and Montserrat Vallverdu and Isidre Rivero and Andreas Voss and Antonio Bayes de Luna and Alberto Porta and Pere Caminal","2015-2-13","10.1098/rsta.2014.0092","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0092","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0092?download=true","/doi/epdf/10.1098/rsta.2014.0092","The Royal Society Publishing","Symbolic dynamics to discriminate healthy and ischaemic dilated cardiomyopathy populations an application to the variability of heart period and QT interval",NA,NA
"UnCheol Lee and Stefanie Blain-Moraes and George A. Mashour","2015-2-13","10.1098/rsta.2014.0117","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0117","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0117?download=true","/doi/epdf/10.1098/rsta.2014.0117","The Royal Society Publishing","Assessing levels of consciousness with symbolic analysis",NA,NA
"Noah Myrent and Douglas E. Adams and D. Todd Griffith","2015-2-28","10.1098/rsta.2014.0345","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0345","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0345?download=true","/doi/epdf/10.1098/rsta.2014.0345","The Royal Society Publishing","Wind turbine blade shear web disbond detection using rotor blade operational sensing and data analysis",NA,NA
"Ken Caldeira and Lowell Wood","2008-8-29","rsta20080132","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0132","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0132?download=true","/doi/epdf/10.1098/rsta.2008.0132","The Royal SocietyLondon","Global and Arctic climate engineering numerical model studies",NA,NA
"R.S Lampitt and E.P Achterberg and T.R Anderson and J.A Hughes and M.D Iglesias-Rodriguez and B.A Kelly-Gerreyn and M Lucas and E.E Popova and R Sanders and J.G Shepherd and D Smythe-Wright and A Yool","2008-8-29","rsta20080139","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0139","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0139?download=true","/doi/epdf/10.1098/rsta.2008.0139","The Royal SocietyLondon","Ocean fertilization a potential means of geoengineering",NA,NA
"Tom Rodden","2008-8-4","rsta20080146","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0146","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0146?download=true","/doi/epdf/10.1098/rsta.2008.0146","The Royal SocietyLondon","Living in a ubiquitous world",NA,NA
"J. Michael T Thompson","2008-9-25","rsta20080215","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0215","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0215?download=true","/doi/epdf/10.1098/rsta.2008.0215","The Royal SocietyLondon","Introduction. Progress in Earth science and climate studies",NA,NA
"Francis Lévi and Atilla Altinok and Jean Clairambault and Albert Goldbeter","2008-12-28","10.1098/rsta.2008.3000","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2008.3000","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.3000?download=true","/doi/epdf/10.1098/rsta.2008.3000","The Royal Society","Correction for Lévi, Implications of circadian clocks for the rhythmic delivery of cancer therapeutics",NA,NA
"Mat Collins","2007-6-14","rsta20072068","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2068","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2068?download=true","/doi/epdf/10.1098/rsta.2007.2068","The Royal SocietyLondon","Ensembles and probabilities a new era in the prediction of climate change",NA,NA
"Timothy I. Eglinton and Heather D. Graven and Peter A. Raymond and Susan E. Trumbore","2023-11-27","10.1098/rsta.2022.0209","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2022.0209","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2022.0209?download=true","/doi/epdf/10.1098/rsta.2022.0209","The Royal Society","A special issue preface Radiocarbon in the Anthropocene","radiocarbon (14C),carbon cycle,climate change,Anthropocene,fossil fuels,bomb 14C","radiocarbon (14C),carbon cycle,climate change,Anthropocene,fossil fuels,bomb 14C,atmospheric chemistry,atmospheric science,climatology,environmental chemistry,geochemistry"
"Themistoklis P. Sapsis and Antoine Blanchard","2022-8-8","10.1098/rsta.2021.0197","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0197","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0197?download=true","/doi/epdf/10.1098/rsta.2021.0197","The Royal Society","Optimal criteria and their asymptotic form for data selection in data-driven reduced-order modelling with Gaussian process regression","optimal experimental design,data-driven modelling,Bayesian regression,optimal sampling,active learning","optimal experimental design,data-driven modelling,Bayesian regression,optimal sampling,active learning,applied mathematics,computational mathematics,computational mechanics,statistics"
"Paul I. Palmer and Liang Feng and Mark F. Lunt and Robert J. Parker and Hartmut Bösch and Xin Lan and Alba Lorente and Tobias Borsdorff","2021-11-15","10.1098/rsta.2021.0106","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0106","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0106?download=true","/doi/epdf/10.1098/rsta.2021.0106","The Royal Society","The added value of satellite observations of methane forunderstanding the contemporary methane budget","atmospheric methane,satellite observations,inverse modelling,methane emissions,surface measurements","atmospheric methane,satellite observations,inverse modelling,methane emissions,surface measurements,atmospheric chemistry,atmospheric science,biogeochemistry"
"Paul I. Palmer and Liang Feng and Mark F. Lunt and Robert J. Parker and Hartmut Bösch and Xin Lan and Alba Lorente and Tobias Borsdorff","2022-3-7","10.1098/rsta.2021.0421","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0421","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0421?download=true","/doi/epdf/10.1098/rsta.2021.0421","The Royal Society","Correction to ‘The added value of satellite observations of methane for understanding the contemporary methane budget’","","atmospheric chemistry,atmospheric science,biogeochemistry"
"Roberto Benzi and Ilaria Castaldi and Federico Toschi and Jeannot Trampert","2022-3-7","10.1098/rsta.2021.0074","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0074","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0074?download=true","/doi/epdf/10.1098/rsta.2021.0074","The Royal Society","Self-similar properties of avalanche statistics in a simple turbulent model","turbulence,avalanche,intermittency","turbulence,avalanche,intermittency,complexity,fluid mechanics"
"John Panickacheril John and Diego A. Donzis and Katepalli R. Sreenivasan","2022-3-7","10.1098/rsta.2021.0089","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0089","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0089?download=true","/doi/epdf/10.1098/rsta.2021.0089","The Royal Society","Laws of turbulence decay from direct numerical simulations","decaying turbulence,scaling laws,universality,incompressible turbulence","decaying turbulence,scaling laws,universality,incompressible turbulence,fluid mechanics"
"Jacob T. Shaw and Adil Shah and Han Yong and Grant Allen","2021-11-15","10.1098/rsta.2020.0450","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0450","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0450?download=true","/doi/epdf/10.1098/rsta.2020.0450","The Royal Society","Methods for quantifying methane emissions using unmanned aerial vehicles a review","methane,fluxes,UAVs,drones,emissions","methane,fluxes,UAVs,drones,emissions,atmospheric chemistry,atmospheric science,climatology"
