Year,Collocate,MI Score,Context,File,Directory,Context_Year
1746,which,3.49,"Opinion:""Bur among the Facts which he colleds",rstl_1749_0074.txt,txt_rstl,1749.0
1747,which,3.6,"Opinion:""Bur among the Facts which he colleds",rstl_1749_0074.txt,txt_rstl,1749.0
1748,these,4.93,"nions, These are facts confider'd in themselves",rstl_1751_0066.txt,txt_rstl,1751.0
1748,these,4.93,on reading these facts : but my,rstl_1751_0013.txt,txt_rstl,1751.0
1748,these,4.93,"evaporation. These two facts plainly shew, how",rstl_1751_0013.txt,txt_rstl,1751.0
1748,these,4.93,"former, From these facts it is easy",rstl_1755_0043.txt,txt_rstl,1755.0
1748,these,4.93,These were the facts strongly attested by,rstl_1755_0012.txt,txt_rstl,1755.0
1748,these,4.93,"all these different facts be compared together,",rstl_1757_0012.txt,txt_rstl,1757.0
1748,these,4.93,them all these facts above. mentioned ;,rstl_1757_0008.txt,txt_rstl,1757.0
1748,these,4.93,"all these different facts be compared together,",rstl_1757_0013.txt,txt_rstl,1757.0
1748,which,3.37,"Opinion:""Bur among the Facts which he colleds",rstl_1749_0074.txt,txt_rstl,1749.0
1749,these,5.1,"nions, These are facts confider'd in themselves",rstl_1751_0066.txt,txt_rstl,1751.0
1749,these,5.1,on reading these facts : but my,rstl_1751_0013.txt,txt_rstl,1751.0
1749,these,5.1,"evaporation. These two facts plainly shew, how",rstl_1751_0013.txt,txt_rstl,1751.0
1749,these,5.1,"former, From these facts it is easy",rstl_1755_0043.txt,txt_rstl,1755.0
1749,these,5.1,These were the facts strongly attested by,rstl_1755_0012.txt,txt_rstl,1755.0
1749,these,5.1,"all these different facts be compared together,",rstl_1757_0012.txt,txt_rstl,1757.0
1749,these,5.1,them all these facts above. mentioned ;,rstl_1757_0008.txt,txt_rstl,1757.0
1749,these,5.1,"all these different facts be compared together,",rstl_1757_0013.txt,txt_rstl,1757.0
1749,which,3.44,"Opinion:""Bur among the Facts which he colleds",rstl_1749_0074.txt,txt_rstl,1749.0
1750,these,5.15,"nions, These are facts confider'd in themselves",rstl_1751_0066.txt,txt_rstl,1751.0
1750,these,5.15,on reading these facts : but my,rstl_1751_0013.txt,txt_rstl,1751.0
1750,these,5.15,"evaporation. These two facts plainly shew, how",rstl_1751_0013.txt,txt_rstl,1751.0
1750,these,5.15,"former, From these facts it is easy",rstl_1755_0043.txt,txt_rstl,1755.0
1750,these,5.15,These were the facts strongly attested by,rstl_1755_0012.txt,txt_rstl,1755.0
1750,these,5.15,"all these different facts be compared together,",rstl_1757_0012.txt,txt_rstl,1757.0
1750,these,5.15,them all these facts above. mentioned ;,rstl_1757_0008.txt,txt_rstl,1757.0
1750,these,5.15,"all these different facts be compared together,",rstl_1757_0013.txt,txt_rstl,1757.0
1750,these,5.15,Many of these faCts are colleQted together,rstl_1759_0057.txt,txt_rstl,1759.0
1750,these,5.15,"7. Both these facts sufficiently appear, from",rstl_1759_0057.txt,txt_rstl,1759.0
1752,these,4.97,"former, From these facts it is easy",rstl_1755_0043.txt,txt_rstl,1755.0
1752,these,4.97,These were the facts strongly attested by,rstl_1755_0012.txt,txt_rstl,1755.0
1752,these,4.97,"all these different facts be compared together,",rstl_1757_0012.txt,txt_rstl,1757.0
1752,these,4.97,them all these facts above. mentioned ;,rstl_1757_0008.txt,txt_rstl,1757.0
1752,these,4.97,"all these different facts be compared together,",rstl_1757_0013.txt,txt_rstl,1757.0
1752,these,4.97,Many of these faCts are colleQted together,rstl_1759_0057.txt,txt_rstl,1759.0
1752,these,4.97,"7. Both these facts sufficiently appear, from",rstl_1759_0057.txt,txt_rstl,1759.0
1752,which,3.18,,,,
1754,these,5.04,"former, From these facts it is easy",rstl_1755_0043.txt,txt_rstl,1755.0
1754,these,5.04,These were the facts strongly attested by,rstl_1755_0012.txt,txt_rstl,1755.0
1754,these,5.04,"all these different facts be compared together,",rstl_1757_0012.txt,txt_rstl,1757.0
1754,these,5.04,them all these facts above. mentioned ;,rstl_1757_0008.txt,txt_rstl,1757.0
