Context,Collocate,File,Directory,Year,Frequency Filter
pox. Thus have I stated facts relative to the present sub-!,to,rstl_1780_0008.txt,txt_rstl,1780,6
"miles from Vesuvius #, These facts seem to confirm the extreme",to,rstl_1780_0004.txt,txt_rstl,1780,6
"me to determine, from any facts which have come to my",to,rstl_1784_0026.txt,txt_rstl,1784,6
of the straw-coloured (ilk. ©. Facts similar to these are observable,to,rstl_1786_0016.txt,txt_rstl,1786,6
"removed, since aQtuat and particular facts are brought to vouch for",to,rstl_1789_0021.txt,txt_rstl,1789,6
few general observations on the facts that haye' been advanced. T1.,the,rstl_1780_0022.txt,txt_rstl,1780,6
pox. Thus have I stated facts relative to the present sub-!,the,rstl_1780_0008.txt,txt_rstl,1780,6
"miles from Vesuvius #, These facts seem to confirm the extreme",the,rstl_1780_0004.txt,txt_rstl,1780,6
of the straw-coloured (ilk. ©. Facts similar to these are observable,the,rstl_1786_0016.txt,txt_rstl,1786,6
"shall take care that the facts shall be faithfully described, and",the,rstl_1787_0015.txt,txt_rstl,1787,6
"is by the accumulation of facts f this kind, and efpecially",the,rstl_1788_0020.txt,txt_rstl,1788,6
"So ""2b of the above-mentioned faCts were observed in the Fear",the,rstl_1788_0011.txt,txt_rstl,1788,6
few general observations on the facts that haye' been advanced. T1.,the,rstl_1780_0022.txt,txt_rstl,1780,6
pox. Thus have I stated facts relative to the present sub-!,the,rstl_1780_0008.txt,txt_rstl,1780,6
"miles from Vesuvius #, These facts seem to confirm the extreme",the,rstl_1780_0004.txt,txt_rstl,1780,6
of the straw-coloured (ilk. ©. Facts similar to these are observable,the,rstl_1786_0016.txt,txt_rstl,1786,6
"shall take care that the facts shall be faithfully described, and",the,rstl_1787_0015.txt,txt_rstl,1787,6
"is by the accumulation of facts f this kind, and efpecially",the,rstl_1788_0020.txt,txt_rstl,1788,6
"So ""2b of the above-mentioned faCts were observed in the Fear",the,rstl_1788_0011.txt,txt_rstl,1788,6
few general observations on the facts that haye' been advanced. T1.,the,rstl_1780_0022.txt,txt_rstl,1780,6
pox. Thus have I stated facts relative to the present sub-!,the,rstl_1780_0008.txt,txt_rstl,1780,6
"miles from Vesuvius #, These facts seem to confirm the extreme",the,rstl_1780_0004.txt,txt_rstl,1780,6
of the straw-coloured (ilk. ©. Facts similar to these are observable,the,rstl_1786_0016.txt,txt_rstl,1786,6
"shall take care that the facts shall be faithfully described, and",the,rstl_1787_0015.txt,txt_rstl,1787,6
"is by the accumulation of facts f this kind, and efpecially",the,rstl_1788_0020.txt,txt_rstl,1788,6
"So ""2b of the above-mentioned faCts were observed in the Fear",the,rstl_1788_0011.txt,txt_rstl,1788,6
few general observations on the facts that haye' been advanced. T1.,the,rstl_1780_0022.txt,txt_rstl,1780,6
pox. Thus have I stated facts relative to the present sub-!,the,rstl_1780_0008.txt,txt_rstl,1780,6
"miles from Vesuvius #, These facts seem to confirm the extreme",the,rstl_1780_0004.txt,txt_rstl,1780,6
of the straw-coloured (ilk. ©. Facts similar to these are observable,the,rstl_1786_0016.txt,txt_rstl,1786,6
"shall take care that the facts shall be faithfully described, and",the,rstl_1787_0015.txt,txt_rstl,1787,6
"is by the accumulation of facts f this kind, and efpecially",the,rstl_1788_0020.txt,txt_rstl,1788,6
"So ""2b of the above-mentioned faCts were observed in the Fear",the,rstl_1788_0011.txt,txt_rstl,1788,6
