Year,Collocate,MI Score,Context,File,Directory,Context_Year
1734,there,6.11,"he does, how many curious Facts they will there find; and",rstl_1742_0007.txt,txt_rstl,1742.0
1734,there,6.11,"the © Truth of the Facts therein contained, as there is",rstl_1742_0004.txt,txt_rstl,1742.0
1734,there,6.11,"the © Truth of the Facts therein contained, as there is",rstl_1742_0005.txt,txt_rstl,1742.0
1734,there,6.11,"he does, how many curious Facts they will there find; and",rstl_1742_0005.txt,txt_rstl,1742.0
1740,i,3.43,only add one or wo Facts I should 8g indeed have,rstl_1742_0049.txt,txt_rstl,1742.0
1740,i,3.43,"they had neyer been turned. Facts like these I have related,",rstl_1742_0005.txt,txt_rstl,1742.0
1740,i,3.43,You may depend on rhe Facts as near as I can,rstl_1744_0048.txt,txt_rstl,1744.0
1740,i,3.43,"to S 1749. communicate such Facts as I know, 2 or",rstl_1749_0134.txt,txt_rstl,1749.0
1740,i,3.43,"to S 1749. communicate such Facts as I know, 2 or",rstl_1749_0133.txt,txt_rstl,1749.0
1746,these,4.2,"into the Earth. | These Facts being fo, if my '",rstl_1746_0119.txt,txt_rstl,1746.0
1746,these,4.2,"own opi- nions, These are facts confider'd in themselves in- dependently",rstl_1751_0066.txt,txt_rstl,1751.0
1746,these,4.2,with amazement on reading these facts : but my surprize was,rstl_1751_0013.txt,txt_rstl,1751.0
1746,these,4.2,"activity by evaporation. These two facts plainly shew, how much precau-",rstl_1751_0013.txt,txt_rstl,1751.0
1746,these,4.2,"in the former, From these facts it is easy to draw",rstl_1755_0043.txt,txt_rstl,1755.0
1746,these,4.2,ever constant. These were the facts strongly attested by the com-,rstl_1755_0012.txt,txt_rstl,1755.0
1747,these,4.19,"own opi- nions, These are facts confider'd in themselves in- dependently",rstl_1751_0066.txt,txt_rstl,1751.0
1747,these,4.19,with amazement on reading these facts : but my surprize was,rstl_1751_0013.txt,txt_rstl,1751.0
1747,these,4.19,"activity by evaporation. These two facts plainly shew, how much precau-",rstl_1751_0013.txt,txt_rstl,1751.0
1747,these,4.19,"in the former, From these facts it is easy to draw",rstl_1755_0043.txt,txt_rstl,1755.0
1747,these,4.19,ever constant. These were the facts strongly attested by the com-,rstl_1755_0012.txt,txt_rstl,1755.0
1748,these,4.35,"own opi- nions, These are facts confider'd in themselves in- dependently",rstl_1751_0066.txt,txt_rstl,1751.0
1748,these,4.35,with amazement on reading these facts : but my surprize was,rstl_1751_0013.txt,txt_rstl,1751.0
1748,these,4.35,"activity by evaporation. These two facts plainly shew, how much precau-",rstl_1751_0013.txt,txt_rstl,1751.0
1748,these,4.35,"in the former, From these facts it is easy to draw",rstl_1755_0043.txt,txt_rstl,1755.0
1748,these,4.35,ever constant. These were the facts strongly attested by the com-,rstl_1755_0012.txt,txt_rstl,1755.0
1748,these,4.35,"retiring, If all these different facts be compared together, it will",rstl_1757_0012.txt,txt_rstl,1757.0
1748,these,4.35,laying before them all these facts above. mentioned ; | their,rstl_1757_0008.txt,txt_rstl,1757.0
1748,these,4.35,"retiring, If all these different facts be compared together, it will",rstl_1757_0013.txt,txt_rstl,1757.0
1748,have,3.22,"the Reality | of certain Facts published-in 1raly, and which have",rstl_1749_0074.txt,txt_rstl,1749.0
1748,have,3.22,cate it to them. The facts therein mentioned have been \confirmed,rstl_1757_0025.txt,txt_rstl,1757.0
1748,have,3.22,cate it to them. The facts therein mentioned have been \confirmed,rstl_1757_0024.txt,txt_rstl,1757.0
1749,these,4.51,"own opi- nions, These are facts confider'd in themselves in- dependently",rstl_1751_0066.txt,txt_rstl,1751.0
1749,these,4.51,with amazement on reading these facts : but my surprize was,rstl_1751_0013.txt,txt_rstl,1751.0
1749,these,4.51,"activity by evaporation. These two facts plainly shew, how much precau-",rstl_1751_0013.txt,txt_rstl,1751.0
1749,these,4.51,"in the former, From these facts it is easy to draw",rstl_1755_0043.txt,txt_rstl,1755.0
1749,these,4.51,ever constant. These were the facts strongly attested by the com-,rstl_1755_0012.txt,txt_rstl,1755.0
1749,these,4.51,"retiring, If all these different facts be compared together, it will",rstl_1757_0012.txt,txt_rstl,1757.0
1749,these,4.51,laying before them all these facts above. mentioned ; | their,rstl_1757_0008.txt,txt_rstl,1757.0
1749,these,4.51,"retiring, If all these different facts be compared together, it will",rstl_1757_0013.txt,txt_rstl,1757.0
1749,have,3.21,"the Reality | of certain Facts published-in 1raly, and which have",rstl_1749_0074.txt,txt_rstl,1749.0
1749,have,3.21,cate it to them. The facts therein mentioned have been \confirmed,rstl_1757_0025.txt,txt_rstl,1757.0
1749,have,3.21,cate it to them. The facts therein mentioned have been \confirmed,rstl_1757_0024.txt,txt_rstl,1757.0
1750,these,4.5,"own opi- nions, These are facts confider'd in themselves in- dependently",rstl_1751_0066.txt,txt_rstl,1751.0
1750,these,4.5,with amazement on reading these facts : but my surprize was,rstl_1751_0013.txt,txt_rstl,1751.0
1750,these,4.5,"activity by evaporation. These two facts plainly shew, how much precau-",rstl_1751_0013.txt,txt_rstl,1751.0
1750,these,4.5,"in the former, From these facts it is easy to draw",rstl_1755_0043.txt,txt_rstl,1755.0
1750,these,4.5,ever constant. These were the facts strongly attested by the com-,rstl_1755_0012.txt,txt_rstl,1755.0
1750,these,4.5,"retiring, If all these different facts be compared together, it will",rstl_1757_0012.txt,txt_rstl,1757.0
1750,these,4.5,laying before them all these facts above. mentioned ; | their,rstl_1757_0008.txt,txt_rstl,1757.0
1750,these,4.5,"retiring, If all these different facts be compared together, it will",rstl_1757_0013.txt,txt_rstl,1757.0
1750,these,4.5,and * Many of these faCts are colleQted together in the,rstl_1759_0057.txt,txt_rstl,1759.0
1750,these,4.5,"some ages. 7. Both these facts sufficiently appear, from the accounts",rstl_1759_0057.txt,txt_rstl,1759.0
1750,have,3.07,cate it to them. The facts therein mentioned have been \confirmed,rstl_1757_0025.txt,txt_rstl,1757.0
1750,have,3.07,cate it to them. The facts therein mentioned have been \confirmed,rstl_1757_0024.txt,txt_rstl,1757.0
1752,these,4.56,"in the former, From these facts it is easy to draw",rstl_1755_0043.txt,txt_rstl,1755.0
1752,these,4.56,ever constant. These were the facts strongly attested by the com-,rstl_1755_0012.txt,txt_rstl,1755.0
1752,these,4.56,"retiring, If all these different facts be compared together, it will",rstl_1757_0012.txt,txt_rstl,1757.0
1752,these,4.56,laying before them all these facts above. mentioned ; | their,rstl_1757_0008.txt,txt_rstl,1757.0
1752,these,4.56,"retiring, If all these different facts be compared together, it will",rstl_1757_0013.txt,txt_rstl,1757.0
1752,these,4.56,and * Many of these faCts are colleQted together in the,rstl_1759_0057.txt,txt_rstl,1759.0
1752,these,4.56,"some ages. 7. Both these facts sufficiently appear, from the accounts",rstl_1759_0057.txt,txt_rstl,1759.0
1754,these,4.63,"in the former, From these facts it is easy to draw",rstl_1755_0043.txt,txt_rstl,1755.0
1754,these,4.63,ever constant. These were the facts strongly attested by the com-,rstl_1755_0012.txt,txt_rstl,1755.0
1754,these,4.63,"retiring, If all these different facts be compared together, it will",rstl_1757_0012.txt,txt_rstl,1757.0
1754,these,4.63,laying before them all these facts above. mentioned ; | their,rstl_1757_0008.txt,txt_rstl,1757.0
1754,these,4.63,"retiring, If all these different facts be compared together, it will",rstl_1757_0013.txt,txt_rstl,1757.0
1754,these,4.63,and * Many of these faCts are colleQted together in the,rstl_1759_0057.txt,txt_rstl,1759.0
1754,these,4.63,"some ages. 7. Both these facts sufficiently appear, from the accounts",rstl_1759_0057.txt,txt_rstl,1759.0
1755,these,4.61,"in the former, From these facts it is easy to draw",rstl_1755_0043.txt,txt_rstl,1755.0
1755,these,4.61,ever constant. These were the facts strongly attested by the com-,rstl_1755_0012.txt,txt_rstl,1755.0
1755,these,4.61,"retiring, If all these different facts be compared together, it will",rstl_1757_0012.txt,txt_rstl,1757.0
1755,these,4.61,laying before them all these facts above. mentioned ; | their,rstl_1757_0008.txt,txt_rstl,1757.0
1755,these,4.61,"retiring, If all these different facts be compared together, it will",rstl_1757_0013.txt,txt_rstl,1757.0
1755,these,4.61,and * Many of these faCts are colleQted together in the,rstl_1759_0057.txt,txt_rstl,1759.0
1755,these,4.61,"some ages. 7. Both these facts sufficiently appear, from the accounts",rstl_1759_0057.txt,txt_rstl,1759.0
1756,these,4.18,"retiring, If all these different facts be compared together, it will",rstl_1757_0012.txt,txt_rstl,1757.0
1756,these,4.18,laying before them all these facts above. mentioned ; | their,rstl_1757_0008.txt,txt_rstl,1757.0
1756,these,4.18,"retiring, If all these different facts be compared together, it will",rstl_1757_0013.txt,txt_rstl,1757.0
1756,these,4.18,and * Many of these faCts are colleQted together in the,rstl_1759_0057.txt,txt_rstl,1759.0
1756,these,4.18,"some ages. 7. Both these facts sufficiently appear, from the accounts",rstl_1759_0057.txt,txt_rstl,1759.0
1757,these,4.19,"retiring, If all these different facts be compared together, it will",rstl_1757_0012.txt,txt_rstl,1757.0
1757,these,4.19,laying before them all these facts above. mentioned ; | their,rstl_1757_0008.txt,txt_rstl,1757.0
1757,these,4.19,"retiring, If all these different facts be compared together, it will",rstl_1757_0013.txt,txt_rstl,1757.0
1757,these,4.19,and * Many of these faCts are colleQted together in the,rstl_1759_0057.txt,txt_rstl,1759.0
1757,these,4.19,"some ages. 7. Both these facts sufficiently appear, from the accounts",rstl_1759_0057.txt,txt_rstl,1759.0
1769,these,4.18,"principal use of all these facts is, to explode-the common theories",rstl_1775_0013.txt,txt_rstl,1775.0
